,product_link,product_title,price_usd,condition,time_sold
60,https://www.ebay.com/itm/Earthbound-SNES-Super-Nintendo-Earth-Bound-1994-Saves-Authentic-Cartridge-RARE/163851928834?hash=item2626560502:g:CCUAAOSwpO1dc-NL,Earthbound (SNES) Super Nintendo Earth Bound 1994 Saves Authentic Cartridge RARE,219.95,Good,"Sep 08, 2019 16:31:39 PDT "
61,https://www.ebay.com/itm/EarthBound-Super-Nintendo-SNES-Authentic/264450172754?hash=item3d92756752:g:Pw8AAOSwKpxdbAnP,None,219.95,Good,"Sep 08, 2019 16:31:39 PDT "
62,https://www.ebay.com/itm/Earthbound-Super-Nintendo-SNES/123892005510?hash=item1cd889fa86:g:e7oAAOSwlPZdaWsO,None,219.95,Good,"Sep 08, 2019 16:31:39 PDT "
63,https://www.ebay.com/itm/Earthbound-Super-Nintendo-SNES-RPG-Authentic-Cartridge-Only-Tested-Ships-Fast/223652368553?hash=item3412b850a9:g:4fwAAOSwTAddcXMd,"Earthbound (Super Nintendo, SNES RPG) Authentic Cartridge Only Tested Ships Fast",124.99,Good,"Sep 06, 2019 09:35:32 PDT "
64,https://www.ebay.com/itm/Earthbound-SNES-Super-Nintendo-NTSC-USA-Version-Video-Game-New/392379418152?hash=item5b5ba2c628:g:WMcAAOSwrVddUS35,Earthbound SNES Super Nintendo NTSC USA Version Video Game New,24.99,Brand New,"Sep 06, 2019 09:35:32 PDT "
65,https://www.ebay.com/itm/EARTHBOUND-SNES-AUTHENTIC-BOARD-PICS-GOOD-SHAPE-EARTHBOUND-SUPER-NINTENDO-NES/202767987738?hash=item2f35e9f41a:g:Q50AAOSwmftdaXIp,EARTHBOUND SNES AUTHENTIC BOARD PICS GOOD SHAPE EARTHBOUND SUPER NINTENDO NES,145.99,Acceptable,"Sep 05, 2019 18:16:40 PDT "
66,https://www.ebay.com/itm/EarthBound-Super-Nintendo-Entertainment-System-1995-Authentic-Cart-only/163838950748?hash=item26258ffd5c:g:eY4AAOSwvPtdaC38,"EarthBound (Super Nintendo Entertainment System, 1995) Authentic. Cart only!",137.50,Very Good,"Sep 05, 2019 13:02:45 PDT "
67,https://www.ebay.com/itm/Snes-Earthbound-Lufia-Secret-of-Evermore-4-in-1-Multi-cart-Super-Nintendo-Game/254291302565?hash=item3b34f158a5:g:9q0AAOSwA05ckseO,Snes Earthbound Lufia Secret of Evermore 4 in 1 Multi cart Super Nintendo Game,49.97,Brand New,"Sep 05, 2019 13:02:45 PDT "
68,https://www.ebay.com/itm/Earthbound-Super-Nintendo-SNES-RPG-Authentic-Cartridge-Tested/323898363481?hash=item4b69d8ce59:g:DrYAAOSwCbhdZ~QU,"Earthbound (Super Nintendo, SNES RPG)  Authentic Cartridge  -- Tested!!!",133.50,Good,"Sep 05, 2019 08:51:51 PDT "
69,https://www.ebay.com/itm/AUTHENTIC-EarthBound-Super-Nintendo-Entertainment-System-1995/254349482042?hash=item3b3869183a:g:2AsAAOSwMo9dbtj3,"AUTHENTIC EarthBound (Super Nintendo Entertainment System, 1995)",127.49,Very Good,"Sep 04, 2019 18:04:35 PDT "
70,https://www.ebay.com/itm/Earthbound-SNES-Super-Nintendo-NTSC-Version/254277320591?hash=item3b341bff8f:g:cnkAAOSwmcNdFDfZ,Earthbound SNES Super Nintendo NTSC Version,18.99,Brand New,"Sep 04, 2019 18:04:35 PDT "
71,https://www.ebay.com/itm/Super-Nintendo-Snes-68-in-1-Multicart-New-Video-Game-Cartridge-Earthbound-Mario/254202886517?hash=item3b2fac3975:g:UloAAOSwgJtdPIAc,Super Nintendo Snes 68 in 1 Multicart New Video Game Cartridge Earthbound Mario,49.97,Brand New,"Sep 04, 2019 18:04:35 PDT "
72,https://www.ebay.com/itm/Earthbound-Super-Nintendo-Cart-Only-Nice-Condition-still-saves/202755598833?hash=item2f352ce9f1:g:6m8AAOSwfJ5dUeiE,Earthbound ( Super Nintendo ) - Cart Only - Nice Condition ( still saves ),184.95,Very Good,"Sep 03, 2019 16:22:56 PDT "
73,https://www.ebay.com/itm/Earthbound-SNES-Super-Nintendo-Authentic-Tested-Cleaned/183938674693?hash=item2ad3997005:g:Rb4AAOSwQ4pdbaSf,Earthbound SNES Super Nintendo Authentic Tested Cleaned,149.99,Good,"Sep 02, 2019 16:25:34 PDT "
74,https://www.ebay.com/itm/Earthbound-SNES-Super-Nintendo-Authentic-Tested-Cleaned-New-Save-Battery-Nice/254348368856?hash=item3b38581bd8:g:wPcAAOSwZRldbVYK,Earthbound SNES Super Nintendo Authentic Tested Cleaned New Save Battery Nice,179.99,Good,"Sep 02, 2019 12:12:16 PDT "
75,https://www.ebay.com/itm/EarthBound-Super-Nintendo-Entertainment-System-1995-Authentic-Tested-Works/174016186472?hash=item28842c4868:g:~PYAAOSwLztdbD9b,"EarthBound (Super Nintendo Entertainment System, 1995) Authentic - Tested Works",160.00,Very Good,"Sep 02, 2019 09:33:08 PDT "
76,https://www.ebay.com/itm/Earthbound-SNES-Super-Nintendo-PAL-EUR-Version-Video-Game/392375145986?hash=item5b5b619602:g:RWsAAOSw9rtdTUNr,Earthbound SNES Super Nintendo PAL EUR Version Video Game ,24.90,Brand New,"Sep 02, 2019 09:33:08 PDT "
77,https://www.ebay.com/itm/Earthbound-SNES-Super-Nintendo-US-Version-FREE-SHIPPING-USA/392400389130?hash=item5b5ce2c40a:g:n4cAAOSwKgZdZFiV,Earthbound SNES Super Nintendo US Version FREE SHIPPING USA,16.99,Like New,"Sep 02, 2019 09:33:08 PDT "
78,https://www.ebay.com/itm/Earthbound-Uncut-SNES-Super-Nintendo/293174628178?hash=item444291cf52:g:qBsAAOSwGjldQ4ix,Earthbound Uncut SNES Super Nintendo,25.00,Good,"Aug 31, 2019 15:48:30 PDT "
79,https://www.ebay.com/itm/Earthbound-SNES-Authentic-Super-Nintendo/283591517383?hash=item42075f24c7:g:ZtgAAOSwFMRdYY14,None,25.00,Good,"Aug 31, 2019 15:48:30 PDT "
80,https://www.ebay.com/itm/EarthBound-3D-CARTRIDGE-KEYCHAIN-super-nintendo-snes-collectible/113834715432?hash=item1a8113e928:g:msIAAOSwGThbZrVq,EarthBound 3D CARTRIDGE KEYCHAIN super nintendo snes collectible,9.99,Brand New,"Aug 29, 2019 20:40:19 PDT "
